"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","7.97","8.26","8.43","5.57","","-3.63%"
"08/01/2023","8.27","9.21","9.25","8.08","","-10.21%"
"07/01/2023","9.21","9.41","9.59","8.61","","-2.13%"
"06/01/2023","9.41","9.22","9.65","9.02","","3.18%"
"05/01/2023","9.12","9.73","9.93","9.05","","-5.79%"
"04/01/2023","9.68","10.28","10.48","9.36","","-5.84%"
"03/01/2023","10.28","9.81","11.16","9.11","","4.79%"
"02/01/2023","9.81","9.69","9.96","9.15","","1.55%"
"01/01/2023","9.66","7.87","9.88","7.86","","24.01%"
"12/01/2022","7.79","7.68","8.25","7.55","","2.10%"
"11/01/2022","7.63","7.00","7.65","6.82","","9.78%"
"10/01/2022","6.95","5.69","7.01","5.53","","17.80%"
"09/01/2022","5.90","5.86","6.47","5.49","","-0.17%"
"08/01/2022","5.91","6.01","6.88","5.83","","-1.66%"
"07/01/2022","6.01","5.53","6.34","5.46","","8.29%"
"06/01/2022","5.55","6.92","6.96","5.32","","-18.86%"
"05/01/2022","6.84","7.17","7.42","6.48","","-4.34%"
"04/01/2022","7.15","7.44","7.57","6.75","","-2.85%"
"03/01/2022","7.36","6.94","7.67","5.26","","6.98%"
"02/01/2022","6.88","6.82","7.92","6.62","","0.73%"
"01/01/2022","6.83","6.80","7.34","6.45","","9.63%"
"12/01/2021","6.23","5.51","6.46","5.44","","15.58%"
"11/01/2021","5.39","5.73","7.13","5.26","","-5.77%"
"10/01/2021","5.72","5.88","6.32","5.37","","-4.19%"
"09/01/2021","5.97","8.59","9.08","5.83","","-29.27%"
"08/01/2021","8.44","9.55","9.76","8.42","","-12.17%"
"07/01/2021","9.61","9.59","10.32","9.21","","1.59%"
"06/01/2021","9.46","10.80","11.25","9.21","","-11.01%"
"05/01/2021","10.63","11.09","11.44","10.14","","-1.12%"
"04/01/2021","10.75","11.37","11.71","10.02","","-5.20%"
"03/01/2021","11.34","12.52","12.96","10.37","","-7.65%"
"02/01/2021","12.28","10.74","12.53","10.44","","15.31%"
"01/01/2021","10.65","10.81","11.21","9.46","","-3.36%"
"12/01/2020","11.02","9.74","11.29","8.83","","12.68%"
"11/01/2020","9.78","7.37","10.79","7.12","","32.70%"
"10/01/2020","7.37","7.45","8.58","6.89","","0.55%"
"09/01/2020","7.33","8.78","9.59","6.85","","-18.56%"
"08/01/2020","9.00","7.51","9.22","7.22","","20.32%"
"07/01/2020","7.48","8.79","9.26","7.48","","-16.33%"
"06/01/2020","8.94","9.90","12.54","8.59","","-2.83%"
"05/01/2020","9.20","8.16","10.07","7.12","","13.44%"
"04/01/2020","8.11","8.41","9.40","7.02","","-5.37%"
"03/01/2020","8.57","11.63","12.29","8.03","","-26.31%"
"02/01/2020","11.63","13.84","15.46","11.53","","-16.03%"
"01/01/2020","13.85","16.40","16.76","13.45","","-17.10%"
"12/01/2019","16.71","17.47","17.63","16.19","","-2.69%"
"11/01/2019","17.17","15.63","17.92","15.56","","10.06%"
"10/01/2019","15.60","14.65","16.22","13.83","","6.81%"
"09/01/2019","14.60","14.03","14.98","13.70","","4.36%"
"08/01/2019","13.99","14.39","14.82","12.59","","-2.34%"
"07/01/2019","14.33","15.10","15.57","14.05","","-4.72%"
"06/01/2019","15.04","17.05","17.96","14.34","","-11.76%"
"05/01/2019","17.05","21.61","21.93","16.81","","-20.59%"
"04/01/2019","21.47","19.61","22.69","19.18","","9.88%"
"03/01/2019","19.53","22.72","23.13","19.17","","-13.35%"
