"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","434.10","425.20","464.40","413.00","1.94M","2.58%"
"08/01/2023","423.20","451.10","462.00","409.40","58.39M","-6.43%"
"07/01/2023","452.30","484.90","504.12","437.70","72.91M","-6.28%"
"06/01/2023","482.60","472.00","514.40","465.79","58.71M","2.40%"
"05/01/2023","471.30","500.80","534.80","467.00","59.88M","-5.29%"
"04/01/2023","497.60","512.80","533.00","481.00","58.61M","-4.01%"
"03/01/2023","518.40","485.00","582.71","439.28","90.27M","6.58%"
"02/01/2023","486.40","489.90","514.79","457.30","59.17M","-1.12%"
"01/01/2023","491.90","328.50","522.40","326.30","104.64M","51.54%"
"12/01/2022","324.60","397.50","404.00","320.50","51.83M","-17.00%"
"11/01/2022","391.10","354.80","428.00","332.82","93.07M","12.26%"
"10/01/2022","348.40","284.90","360.71","276.87","101.60M","17.54%"
"09/01/2022","296.40","355.90","375.90","279.00","108.06M","-17.62%"
"08/01/2022","359.80","403.00","429.93","352.68","74.47M","-9.91%"
"07/01/2022","399.40","364.00","403.00","338.25","135.29M","8.95%"
"06/01/2022","366.60","522.40","524.20","352.50","133.41M","-29.17%"
"05/01/2022","517.60","557.20","573.20","468.10","119.08M","-7.74%"
"04/01/2022","561.00","559.20","604.24","513.20","74.60M","0.79%"
"03/01/2022","556.60","607.40","618.40","417.40","178.06M","-7.63%"
"02/01/2022","602.60","628.80","729.20","584.33","127.46M","-2.59%"
"01/01/2022","618.60","595.00","649.60","588.00","114.44M","11.26%"
"12/01/2021","556.00","513.20","577.60","482.90","103.96M","11.98%"
"11/01/2021","496.50","618.00","685.00","457.50","139.11M","-20.30%"
"10/01/2021","623.00","658.83","717.61","575.76","137.51M","-6.00%"
"09/01/2021","662.80","678.75","721.00","550.20","183.02M","-1.10%"
"08/01/2021","670.16","718.83","730.44","654.00","55.80M","-5.93%"
"07/01/2021","712.43","761.93","820.70","633.96","83.79M","-5.43%"
"06/01/2021","753.34","839.39","862.12","734.48","85.21M","-11.10%"
"05/01/2021","847.39","883.17","921.89","794.26","60.91M","-2.85%"
"04/01/2021","872.22","833.49","884.02","770.52","72.29M","5.91%"
"03/01/2021","823.56","846.12","895.37","745.26","88.66M","-0.75%"
"02/01/2021","829.79","619.48","860.53","607.86","101.72M","35.31%"
"01/01/2021","613.25","708.22","727.75","572.50","100.62M","-12.24%"
"12/01/2020","698.79","689.70","798.98","564.40","91.50M","3.05%"
"11/01/2020","678.08","415.57","718.49","386.47","132.37M","59.23%"
"10/01/2020","425.84","429.38","469.45","385.43","86.73M","0.84%"
"09/01/2020","422.30","527.71","554.82","395.95","98.86M","-20.78%"
"08/01/2020","533.10","419.02","552.09","409.67","85.78M","28.39%"
"07/01/2020","415.23","572.50","613.92","413.64","100.58M","-27.47%"
"06/01/2020","572.50","588.83","804.53","543.37","170.58M","0.00%"
"05/01/2020","572.50","495.04","650.13","375.24","144.57M","12.73%"
"04/01/2020","507.84","466.42","588.50","389.55","107.58M","5.64%"
"03/01/2020","480.73","961.04","964.83","345.18","131.18M","-48.12%"
"02/01/2020","926.53","1,187.10","1,321.80","868.03","60.91M","-21.00%"
"01/01/2020","1,172.78","1,206.04","1,301.10","1,119.74","42.32M","-2.21%"
"12/01/2019","1,199.31","1,122.69","1,311.28","1,084.38","45.49M","6.47%"
"11/01/2019","1,126.48","1,047.76","1,156.70","1,041.45","41.54M","8.08%"
"10/01/2019","1,042.29","967.78","1,119.74","897.06","63.22M","7.65%"
"09/01/2019","968.20","809.08","979.69","763.38","49.25M","19.37%"
"08/01/2019","811.10","809.08","864.22","739.70","46.51M","-0.06%"
"07/01/2019","811.60","808.24","943.36","793.42","66.15M","1.13%"
"06/01/2019","802.51","729.27","803.86","707.21","76.71M","9.41%"
"05/01/2019","733.47","985.04","996.40","724.05","65.86M","-25.12%"
"04/01/2019","979.57","888.22","1,036.39","839.64","56.46M","4.12%"
"03/01/2019","940.84","1,043.55","1,068.81","921.05","47.50M","-8.96%"
"02/01/2019","1,033.45","1,060.81","1,151.32","1,022.08","46.99M","-2.89%"
"01/01/2019","1,064.18","935.79","1,108.38","907.16","59.70M","14.39%"
"12/01/2018","930.31","946.31","961.46","867.17","40.30M","-0.67%"
"11/01/2018","936.63","1,003.98","1,084.80","920.21","66.56M","-7.29%"
"10/01/2018","1,010.30","1,052.39","1,078.49","893.69","69.10M","-8.68%"
"09/01/2018","1,106.27","1,282.23","1,305.81","1,077.23","52.67M","-13.84%"
"08/01/2018","1,283.92","1,364.32","1,377.79","1,268.34","35.60M","-5.81%"
"07/01/2018","1,363.06","1,396.31","1,463.62","1,318.01","46.70M","-3.23%"
"06/01/2018","1,408.52","1,443.88","1,522.60","1,384.10","38.69M","-2.11%"
"05/01/2018","1,438.83","1,339.06","1,512.50","1,337.38","55.48M","7.48%"
"04/01/2018","1,338.64","1,338.22","1,411.05","1,307.07","46.73M","-0.90%"
"03/01/2018","1,350.85","1,385.37","1,420.73","1,301.18","54.39M","-4.44%"
"02/01/2018","1,413.57","1,398.00","1,430.14","1,326.85","44.34M","1.14%"
"01/01/2018","1,397.58","1,226.67","1,427.61","1,214.88","68.17M","13.39%"
"12/01/2017","1,232.56","1,176.99","1,235.93","1,153.42","62.45M","4.13%"
"11/01/2017","1,183.73","1,132.37","1,207.30","1,043.97","68.08M","5.00%"
"10/01/2017","1,127.32","1,043.97","1,134.06","1,030.50","72.88M","10.02%"
"09/01/2017","1,024.61","1,006.09","1,047.55","955.78","71.91M","1.76%"
"08/01/2017","1,006.93","1,043.97","1,155.10","994.30","58.99M","-3.24%"
"07/01/2017","1,040.60","1,132.37","1,215.72","1,037.24","81.20M","-9.05%"
"06/01/2017","1,144.16","1,191.31","1,197.71","1,089.44","76.17M","-3.89%"
"05/01/2017","1,190.46","979.99","1,201.41","972.97","108.66M","21.06%"
"04/01/2017","983.35","861.28","989.25","845.84","71.59M","13.84%"
"03/01/2017","863.80","809.08","869.70","788.03","98.01M","7.89%"
"02/01/2017","800.66","798.55","838.36","763.10","78.13M","0.11%"
"01/01/2017","799.82","846.12","911.79","799.82","95.56M","-5.47%"
"12/01/2016","846.12","835.18","882.16","808.24","49.14M","1.52%"
"11/01/2016","833.49","790.14","934.52","782.56","97.81M","5.66%"
"10/01/2016","788.87","844.44","855.20","716.47","109.76M","-6.95%"
"09/01/2016","847.81","936.21","1,033.87","835.60","80.68M","-8.87%"
"08/01/2016","930.31","883.17","949.68","839.12","60.58M","6.15%"
"07/01/2016","876.43","926.95","991.77","819.18","79.30M","-4.14%"
"06/01/2016","914.32","1,293.18","1,299.91","833.49","70.56M","-29.16%"
"05/01/2016","1,290.65","1,244.35","1,318.44","1,190.17","46.41M","4.07%"
"04/01/2016","1,240.14","1,272.97","1,303.32","1,203.09","37.62M","-3.03%"
"03/01/2016","1,278.87","1,271.29","1,328.54","1,191.31","39.60M","0.86%"
"02/01/2016","1,267.92","1,306.65","1,352.95","1,227.51","44.50M","-2.71%"
"01/01/2016","1,303.28","1,456.51","1,487.66","1,267.92","42.30M","-11.03%"
"12/01/2015","1,464.93","1,393.37","1,491.03","1,354.64","28.20M","5.26%"
"11/01/2015","1,391.68","1,439.67","1,523.02","1,310.86","43.38M","-5.54%"
"10/01/2015","1,473.35","1,511.23","1,532.28","1,393.37","31.44M","-1.52%"
"09/01/2015","1,496.08","1,392.52","1,554.41","1,371.02","38.73M","5.59%"
"08/01/2015","1,416.94","1,379.90","1,473.23","1,315.91","30.20M","2.37%"
"07/01/2015","1,384.10","1,315.07","1,489.34","1,307.98","43.35M","6.34%"
"06/01/2015","1,301.60","1,356.32","1,373.16","1,280.55","45.50M","-3.92%"
"05/01/2015","1,354.64","1,523.02","1,588.47","1,337.80","59.71M","-11.25%"
"04/01/2015","1,526.39","1,584.48","1,613.11","1,501.97","29.69M","-3.67%"
"03/01/2015","1,584.48","1,454.83","1,603.00","1,385.79","42.98M","8.66%"
"02/01/2015","1,458.19","1,561.75","1,561.75","1,399.26","43.98M","-6.98%"
"01/01/2015","1,567.64","1,415.26","1,624.05","1,331.91","51.46M","11.43%"
"12/01/2014","1,406.84","1,402.63","1,484.75","1,322.95","37.61M","1.09%"
"11/01/2014","1,391.68","1,282.23","1,432.11","1,254.45","53.74M","10.20%"
"10/01/2014","1,262.87","1,198.04","1,269.60","1,096.17","60.51M","5.41%"
"09/01/2014","1,198.04","1,120.59","1,212.35","1,081.86","41.15M","6.59%"
"08/01/2014","1,123.95","1,088.59","1,161.67","1,016.19","36.39M","3.09%"
"07/01/2014","1,090.28","1,155.95","1,195.52","1,039.76","80.37M","-5.13%"
"06/01/2014","1,149.21","1,295.70","1,370.63","1,144.16","43.38M","-10.78%"
"05/01/2014","1,288.13","1,378.21","1,464.93","1,240.14","37.33M","-6.54%"
"04/01/2014","1,378.21","1,450.62","1,560.06","1,351.27","28.18M","-4.55%"
"03/01/2014","1,443.88","1,425.36","1,482.26","1,328.54","30.55M","-0.35%"
"02/01/2014","1,448.93","1,354.57","1,458.59","1,322.55","25.89M","7.36%"
"01/01/2014","1,349.64","1,264.26","1,430.91","1,257.04","36.82M","7.03%"
