"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","151.15","162.55","163.53","150.70","","-6.77%"
"08/01/2023","162.12","171.00","172.90","157.50","","-5.13%"
"07/01/2023","170.88","162.65","171.85","149.40","","5.55%"
"06/01/2023","161.90","154.50","166.90","153.20","","4.96%"
"05/01/2023","154.25","153.05","162.20","144.95","","1.50%"
"04/01/2023","151.97","149.90","153.05","143.60","","0.47%"
"03/01/2023","151.26","155.30","157.36","127.88","","-2.20%"
"02/01/2023","154.66","168.66","173.04","152.10","","-8.10%"
"01/01/2023","168.30","125.92","172.34","125.85","","34.62%"
"12/01/2022","125.02","135.96","137.60","122.78","","-7.03%"
"11/01/2022","134.48","122.70","142.00","119.46","","13.23%"
"10/01/2022","118.77","95.49","121.96","90.51","","25.62%"
"09/01/2022","94.55","107.66","114.07","93.65","","-12.10%"
"08/01/2022","107.57","119.37","123.85","105.52","","-10.48%"
"07/01/2022","120.16","107.60","125.64","102.22","","12.04%"
"06/01/2022","107.25","129.76","130.14","104.48","","-17.65%"
"05/01/2022","130.23","143.90","151.50","119.26","","-9.78%"
"04/01/2022","144.34","143.53","155.93","130.66","","0.59%"
"03/01/2022","143.49","151.10","154.72","109.52","","-7.11%"
"02/01/2022","154.48","158.38","180.00","143.10","","-0.45%"
"01/01/2022","155.18","154.10","168.40","142.48","","8.84%"
"12/01/2021","142.57","129.96","147.94","124.72","","9.39%"
"11/01/2021","130.33","162.84","183.04","122.07","","-19.60%"
"10/01/2021","162.11","175.00","193.76","153.42","","-9.87%"
"09/01/2021","179.86","162.26","188.12","136.74","","13.66%"
"08/01/2021","158.24","171.76","178.84","155.62","","-9.83%"
"07/01/2021","175.50","174.98","196.00","156.80","","1.72%"
"06/01/2021","172.54","203.85","209.90","167.66","","-14.75%"
"05/01/2021","202.39","207.55","213.90","185.60","","-0.29%"
"04/01/2021","202.97","199.64","219.15","189.92","","0.82%"
"03/01/2021","201.32","198.65","221.95","181.50","","1.32%"
