"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","1,093.00","1,061.00","1,167.00","1,018.00","271.14K","3.60%"
"08/01/2023","1,055.00","1,149.00","1,190.00","1,034.00","8.75M","-6.14%"
"07/01/2023","1,124.00","1,261.00","1,297.00","1,072.00","18.35M","-9.79%"
"06/01/2023","1,246.00","1,219.00","1,305.56","1,165.00","19.89M","4.18%"
"05/01/2023","1,196.00","1,168.00","1,307.03","1,150.00","9.54M","-2.45%"
"04/01/2023","1,226.00","1,316.00","1,368.00","1,195.00","9.94M","-6.59%"
"03/01/2023","1,312.50","1,330.00","1,394.50","1,200.50","22.30M","1.47%"
"02/01/2023","1,293.50","1,221.50","1,341.50","1,173.50","14.71M","6.46%"
"01/01/2023","1,215.00","958.80","1,244.50","931.00","20.96M","26.77%"
"12/01/2022","958.40","1,034.00","1,035.00","936.20","15.32M","-4.87%"
"11/01/2022","1,007.50","858.40","1,053.00","841.00","25.64M","18.56%"
"10/01/2022","849.80","675.00","874.60","637.40","13.22M","22.63%"
"09/01/2022","693.00","890.00","938.00","679.14","15.50M","-18.89%"
"08/01/2022","854.40","870.80","1,027.22","828.00","7.63M","-6.79%"
"07/01/2022","916.60","914.80","935.13","739.55","16.73M","1.19%"
"06/01/2022","905.80","1,219.00","1,219.00","870.60","8.96M","-22.45%"
"05/01/2022","1,168.00","1,270.00","1,290.00","1,064.50","9.71M","-5.84%"
"04/01/2022","1,240.50","1,195.50","1,356.50","1,105.00","9.70M","8.34%"
"03/01/2022","1,145.00","1,295.50","1,310.00","912.40","16.71M","-10.79%"
"02/01/2022","1,283.50","1,313.00","1,434.19","1,193.63","12.89M","-2.62%"
"01/01/2022","1,318.00","1,104.50","1,329.00","1,104.50","13.74M","18.21%"
"12/01/2021","1,115.00","980.80","1,131.00","916.60","11.62M","14.22%"
"11/01/2021","976.20","1,219.00","1,371.00","953.20","20.77M","-19.95%"
"10/01/2021","1,219.50","1,281.00","1,330.00","1,162.00","11.34M","-4.73%"
"09/01/2021","1,280.00","1,169.00","1,349.50","1,054.50","14.73M","10.92%"
"08/01/2021","1,154.00","1,282.00","1,344.00","1,133.50","9.58M","-7.05%"
"07/01/2021","1,241.50","1,200.00","1,293.00","1,020.00","22.43M","4.90%"
"06/01/2021","1,183.50","1,377.00","1,400.00","1,159.88","24.16M","-12.33%"
"05/01/2021","1,350.00","1,492.00","1,573.22","1,322.50","10.00M","-9.49%"
"04/01/2021","1,491.50","1,261.00","1,508.70","1,206.00","12.20M","17.63%"
"03/01/2021","1,268.00","1,484.00","1,504.00","1,200.00","19.71M","-12.79%"
"02/01/2021","1,454.00","1,335.00","1,498.09","1,180.00","30.20M","10.24%"
"01/01/2021","1,319.00","1,472.00","1,524.00","1,177.00","13.22M","-7.76%"
"12/01/2020","1,430.00","1,419.00","1,520.00","1,218.00","17.68M","2.22%"
"11/01/2020","1,399.00","830.00","1,433.00","771.00","24.20M","64.49%"
